actress_name,total_votes,movie_count,actress_avg_rating,actress_rank
"Taapsee Pannu",2269,3,7.74,1
"Kriti Sanon",14978,3,7.05,2
"Divya Dutta",345,3,6.88,3
"Shraddha Kapoor",3349,3,6.63,4
"Kriti Kharbanda",1280,3,4.80,5
